Name,Age,Gender,Emotion,Timestamp
Kanishk,35,"{'Woman': np.float32(15.535428), 'Man': np.float32(84.46457)}",happy,2025-04-23 20:54:19
Kanishk,29,"{'Woman': np.float32(7.484906), 'Man': np.float32(92.51509)}",sad,2025-04-23 20:54:22
Kanishk,25,"{'Woman': np.float32(0.06815081), 'Man': np.float32(99.93185)}",sad,2025-04-23 20:54:25
Kanishk,25,"{'Woman': np.float32(0.18029194), 'Man': np.float32(99.81972)}",neutral,2025-04-23 20:54:28
Kanishk,27,"{'Woman': np.float32(0.2327055), 'Man': np.float32(99.767296)}",neutral,2025-04-23 20:54:32
Kanishk,26,"{'Woman': np.float32(0.5550454), 'Man': np.float32(99.44496)}",neutral,2025-04-23 20:54:36
Kanishk,25,"{'Woman': np.float32(0.3081143), 'Man': np.float32(99.691895)}",fear,2025-04-23 20:54:38
Kanishk,35,"{'Woman': np.float32(24.863327), 'Man': np.float32(75.13668)}",sad,2025-04-23 20:54:46
Kanishk,29,"{'Woman': np.float32(1.1143278), 'Man': np.float32(98.88567)}",neutral,2025-04-23 20:54:49
Kanishk,29,"{'Woman': np.float32(4.552947), 'Man': np.float32(95.44706)}",fear,2025-04-23 20:54:52
Kanishk,29,"{'Woman': np.float32(2.0972502), 'Man': np.float32(97.90275)}",fear,2025-04-23 20:55:01
